Date,Open,High,Low,Close,Volume
Mon Jul 06 2015 06:10:00 GMT-0400 (EDT),271.84,271.84,271.84,271.84,3.29909
Mon Jul 06 2015 06:05:00 GMT-0400 (EDT),271.83,271.88,271.83,271.88,4.695
Mon Jul 06 2015 06:00:00 GMT-0400 (EDT),272.25,272.33,271.83,271.83,13.163199999999996
Mon Jul 06 2015 05:55:00 GMT-0400 (EDT),273.76,273.76,272.27,272.27,29.562729340000008
Mon Jul 06 2015 05:50:00 GMT-0400 (EDT),273.77,273.78,273.76,273.76,1.5105000000000002
Mon Jul 06 2015 05:45:00 GMT-0400 (EDT),273.66,273.91,273.66,273.78,18.382860000000004
Mon Jul 06 2015 05:40:00 GMT-0400 (EDT),273.88,273.91,273.66,273.66,53.34643968999999
Mon Jul 06 2015 05:35:00 GMT-0400 (EDT),273.94,273.94,273.85,273.88,1.3303000000000003
Mon Jul 06 2015 05:30:00 GMT-0400 (EDT),274.18,274.18,273.93,273.93,7.5632701799999955
Mon Jul 06 2015 05:25:00 GMT-0400 (EDT),274.02,274.36,274.02,274.19,5.68394
Mon Jul 06 2015 05:20:00 GMT-0400 (EDT),274.27,274.28,274.02,274.12,11.003559999999998
Mon Jul 06 2015 05:15:00 GMT-0400 (EDT),274.12,274.28,274.12,274.28,2.7122255899999996
Mon Jul 06 2015 05:10:00 GMT-0400 (EDT),273.82,274.13,273.82,274.13,1.9537
Mon Jul 06 2015 05:05:00 GMT-0400 (EDT),273.39,274.18,273.39,273.83,45.232800000000026
Mon Jul 06 2015 05:00:00 GMT-0400 (EDT),273.23,273.39,273.22,273.39,3.888689999999997
Mon Jul 06 2015 04:55:00 GMT-0400 (EDT),273.02,273.31,273.02,273.28,4.495299999999999
Mon Jul 06 2015 04:50:00 GMT-0400 (EDT),272.38,273,272.38,273,3.9395884799999967
Mon Jul 06 2015 04:45:00 GMT-0400 (EDT),272.4,272.4,272.17,272.27,19.549860000000002
Mon Jul 06 2015 04:40:00 GMT-0400 (EDT),272.43,272.45,272.4,272.4,8.2792
Mon Jul 06 2015 04:35:00 GMT-0400 (EDT),272.55,272.55,272.43,272.43,5.024152319999999
Mon Jul 06 2015 04:30:00 GMT-0400 (EDT),273.27,273.28,272.23,272.55,26.39025921000001
Mon Jul 06 2015 04:25:00 GMT-0400 (EDT),273.29,273.29,273.26,273.26,7.628639999999999
Mon Jul 06 2015 04:20:00 GMT-0400 (EDT),273.99,273.99,273.3,273.3,18.527200000000004
Mon Jul 06 2015 04:15:00 GMT-0400 (EDT),274.73,274.73,273.9,273.96,38.041440000000016
Mon Jul 06 2015 04:10:00 GMT-0400 (EDT),273.97,274.9,273.96,274.73,70.43109961000003
Mon Jul 06 2015 04:05:00 GMT-0400 (EDT),272.51,273.97,272.51,273.96,139.49523180999995
Mon Jul 06 2015 04:00:00 GMT-0400 (EDT),272.11,272.51,272.11,272.51,71.89608230000002
Mon Jul 06 2015 03:55:00 GMT-0400 (EDT),271.96,272.11,271.95,272.09,37.2884
Mon Jul 06 2015 03:50:00 GMT-0400 (EDT),271.87,271.98,271.87,271.96,4.438
Mon Jul 06 2015 03:45:00 GMT-0400 (EDT),271.89,271.89,271.87,271.87,31.746190000000002
Mon Jul 06 2015 03:40:00 GMT-0400 (EDT),271.5,271.89,271.5,271.88,35.24689596999999
Mon Jul 06 2015 03:35:00 GMT-0400 (EDT),271.43,271.5,271.4,271.5,15.307800000000004
Mon Jul 06 2015 03:30:00 GMT-0400 (EDT),271.1,271.44,270.95,271.43,38.05110000000005
Mon Jul 06 2015 03:25:00 GMT-0400 (EDT),270.97,271.18,270.85,271.14,36.17927012999998
Mon Jul 06 2015 03:20:00 GMT-0400 (EDT),270.92,271.17,270.82,271,32.08890000000001
Mon Jul 06 2015 03:15:00 GMT-0400 (EDT),270.6,270.92,270.59,270.85,15.706399999999997
Mon Jul 06 2015 03:10:00 GMT-0400 (EDT),270.56,270.61,270.56,270.61,19.021999999999995
Mon Jul 06 2015 03:05:00 GMT-0400 (EDT),270.58,270.59,270.26,270.44,4.0504999999999995
Mon Jul 06 2015 03:00:00 GMT-0400 (EDT),269.86,270.58,269.86,270.58,4.9695
Mon Jul 06 2015 02:55:00 GMT-0400 (EDT),269.85,269.86,269.85,269.86,3.9528334499999995
Mon Jul 06 2015 02:50:00 GMT-0400 (EDT),269.85,269.86,269.85,269.85,2.4001
Mon Jul 06 2015 02:45:00 GMT-0400 (EDT),269.97,270.03,269.74,269.93,9.3898
Mon Jul 06 2015 02:40:00 GMT-0400 (EDT),269.97,269.98,269.93,269.97,7.029699999999999
Mon Jul 06 2015 02:35:00 GMT-0400 (EDT),270.12,270.6,269.93,269.94,26.05370000000001
Mon Jul 06 2015 02:30:00 GMT-0400 (EDT),269.96,270.16,269.91,269.91,9.5818
Mon Jul 06 2015 02:25:00 GMT-0400 (EDT),269.8,270.07,269.8,269.95,3.4944
Mon Jul 06 2015 02:20:00 GMT-0400 (EDT),269.84,270.38,269.52,269.89,55.048899999999996
Mon Jul 06 2015 02:15:00 GMT-0400 (EDT),269.71,270.3,269.69,269.78,13.891000000000002
Mon Jul 06 2015 02:10:00 GMT-0400 (EDT),270.12,270.31,269.61,269.91,14.366308020000002
Mon Jul 06 2015 02:05:00 GMT-0400 (EDT),269.43,270.3,269.16,270.12,21.543999999999993
Mon Jul 06 2015 02:00:00 GMT-0400 (EDT),270.29,270.29,268.8,269.53,53.632311659999985
Mon Jul 06 2015 01:55:00 GMT-0400 (EDT),270.31,270.31,269.61,270.3,5.651717700000001
Mon Jul 06 2015 01:50:00 GMT-0400 (EDT),270.77,270.94,270.32,270.32,19.038872
Mon Jul 06 2015 01:45:00 GMT-0400 (EDT),270.78,271.34,270.39,270.77,37.15297
